duration,x^0     ,x^1     ,x^2     ,x^3     ,x^4     ,x^5     ,x^6     ,x^7     ,y^0     ,y^1     ,y^2     ,y^3     ,y^4     ,y^5     ,y^6     ,y^7     ,z^0     ,z^1     ,z^2     ,z^3     ,z^4     ,z^5     ,z^6     ,z^7     ,yaw^0   ,yaw^1   ,yaw^2   ,yaw^3   ,yaw^4   ,yaw^5   ,yaw^6   ,yaw^7   
0.800000,-0.750000,0.000000,0.000000,0.000000,0.675994,-1.473414,1.256558,-0.395016,0.000000,0.000000,0.000000,0.000000,-5.491486,12.701363,-10.988815,3.454481,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.709363,0.112520,0.054015,-0.062461,0.137744,-0.172195,0.126938,-0.039905,-0.243525,-0.500060,0.199648,0.713949,-1.519965,1.617412,-1.110096,0.348973,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.591855,0.184806,0.056717,0.004042,-0.010032,-0.009082,0.012823,-0.004031,-0.460660,-0.152436,-0.061433,-0.162997,0.218496,0.030558,-0.112142,0.035253,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.410211,0.261983,0.032443,-0.012664,0.008293,-0.004333,0.001295,-0.000407,-0.627875,-0.209410,0.096444,0.088818,-0.137218,0.059757,-0.011329,0.003561,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.184114,0.299487,0.016869,-0.006428,-0.003517,0.001125,0.000131,-0.000041,-0.727050,-0.058947,0.043550,-0.032785,0.053527,-0.018361,-0.001144,0.000360,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.061935,0.309420,-0.005780,-0.009730,0.001542,-0.000463,0.000013,-0.000004,-0.747438,0.018216,0.071847,0.014431,-0.024794,0.008676,-0.000116,0.000036,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.301272,0.283718,-0.025530,-0.007685,-0.000255,0.000285,0.000001,-0.000000,-0.686830,0.127709,0.055233,-0.010048,0.009416,-0.003630,-0.000012,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.507961,0.228178,-0.043488,-0.006670,0.000890,-0.000047,0.000000,-0.000000,-0.551793,0.208625,0.048646,-0.003213,-0.005152,0.001692,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.659605,0.147517,-0.056319,-0.004122,0.000703,0.000058,0.000000,-0.000000,-0.356961,0.273202,0.029810,-0.008877,0.001612,-0.000733,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.739771,0.051051,-0.063214,-0.001499,0.000937,-0.000000,0.000000,0.000000,-0.123446,0.305653,0.010940,-0.008412,-0.001321,0.000660,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.739771,-0.051051,-0.063214,0.001499,0.000937,-0.000058,-0.000000,0.000000,0.123446,0.305653,-0.010940,-0.008412,0.001321,-0.000733,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.659605,-0.147517,-0.056319,0.004122,0.000703,0.000047,-0.000000,0.000000,0.356961,0.273202,-0.029810,-0.008877,-0.001612,0.001692,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.507961,-0.228178,-0.043488,0.006670,0.000889,-0.000286,-0.000001,0.000000,0.551793,0.208625,-0.048646,-0.003213,0.005149,-0.003636,-0.000009,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.301272,-0.283718,-0.025530,0.007685,-0.000259,0.000456,-0.000010,0.000004,0.686830,0.127709,-0.055233,-0.010048,-0.009450,0.008609,-0.000088,0.000036,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.061935,-0.309420,-0.005780,0.009730,0.001503,-0.001200,-0.000100,0.000041,0.747438,0.018216,-0.071847,0.014431,0.024456,-0.019019,-0.000870,0.000360,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.184114,-0.299487,0.016869,0.006428,-0.003899,0.003588,-0.000985,0.000407,0.727050,-0.058947,-0.043550,-0.032785,-0.056873,0.053243,-0.008615,0.003561,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.410211,-0.261983,0.032443,0.012664,0.004506,0.001709,-0.009751,0.004031,0.627875,-0.209410,-0.096444,0.088818,0.104096,-0.033919,-0.085277,0.035253,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.591855,-0.184806,0.056717,-0.004042,-0.047524,0.099212,-0.096528,0.039905,0.460660,-0.152436,0.061433,-0.162997,-0.546370,0.979156,-0.844156,0.348973,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.709363,-0.112520,0.054015,0.062461,-0.233388,0.750949,-0.955531,0.395016,0.243525,-0.500060,-0.199648,0.713949,-1.725650,6.383281,-8.356281,3.454481,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
